Runt;Principal;https://www.runt.gov.co/
Runt;Vehiculo;https://www.runt.gov.co/consultaCiudadana/#/consultaVehiculo
Runt;Persona;https://www.runt.gov.co/consultaCiudadana/#/consultaPersona
Runt;Liquidacion Web;https://www.runt.gov.co/runt/appback/LiquidacionWeb/#/
Runt;Pagos;https://www.runt.gov.co/runt/apprnlt/consulta/portalpagos/#/solicitud
Runt;Historico Vehicular;https://portalpublico.runt.gov.co/#/historico-publico/pagos/registrar
Portafoleo;Portafoleo;https://sites.google.com/view/portafolio-javarturs
Seg. Social;Fosyga;https://www.adres.gov.co/consulte-su-eps
Seg. Social;Aportes en linea;https://www.aportesenlinea.com/Home/home.aspx?ReturnUrl=%2flistaBancos.aspx
Seg. Social;Colpensiones Certificado;https://sede.colpensiones.gov.co/tramite/updInfo/2/
Seg. Social;Porvenir Certificado;https://www.porvenir.com.co/web/certificados-y-extractos/certificado-de-afiliacion
Seg. Social;Colfondos Certificado;https://www.colfondos.com.co/dxp/personas/pensiones-obligatorias/certificado-afiliacion
Seg. Social;Proteccion Certificado;https://www.proteccion.com/portalafiliados/afiliados/certifacil
Soat;Seguros Mundial;https://soatmundial.com.co/renovacionsoat/
Soat;Seguros Mundail PKM;https://soatmundial.com.co/packmovilidad/
Soat;Seg del Estado;https://cotizadorsoat.segurosdelestado.com/CotizadorSoat/EmisionContenedor.html
Soat;R5;https://www.grupor5.com/pagar-el-soat-online
Soat;Previsora;https://www.previsora.gov.co/cotizar-soat1
Soat;Seguros Bolivar;https://www.segurosbolivar.com/seguros-en-linea/soat-digital
Impuestos;Acacias;https://impuestovehicular.meta.gov.co/portal-meta/#/
Impuestos;Huila;https://edeskprisma.syc.com.co/HUILA
Dian;Estado Rut;https://muisca.dian.gov.co/WebRutMuisca/DefConsultaEstadoRUT.faces
